Notes,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,Acute gastroenteropathy due to Norwalk agent,A08.1,1-4 years,1-4,1,15929243,Unreliable
,Acute gastroenteropathy due to Norwalk agent,A08.1,55-64 years,55-64,3,40877819,Unreliable
,Acute gastroenteropathy due to Norwalk agent,A08.1,65-74 years,65-74,2,27550517,Unreliable
,Acute gastroenteropathy due to Norwalk agent,A08.1,75-84 years,75-84,1,13923174,Unreliable
,Acute gastroenteropathy due to Norwalk agent,A08.1,85+ years,85+,4,6287161,Unreliable
,Other viral enteritis,A08.3,85+ years,85+,1,6287161,Unreliable
,"Viral intestinal infection, unspecified",A08.4,< 1 year,1,2,3978038,Unreliable
,"Viral intestinal infection, unspecified",A08.4,1-4 years,1-4,3,15929243,Unreliable
,"Viral intestinal infection, unspecified",A08.4,5-14 years,5-14,3,41109506,Unreliable
,"Viral intestinal infection, unspecified",A08.4,15-24 years,15-24,1,43848216,Unreliable
,"Viral intestinal infection, unspecified",A08.4,45-54 years,45-54,6,43188161,Unreliable
,"Viral intestinal infection, unspecified",A08.4,55-64 years,55-64,6,40877819,Unreliable
,"Viral intestinal infection, unspecified",A08.4,65-74 years,65-74,8,27550517,Unreliable
,"Viral intestinal infection, unspecified",A08.4,75-84 years,75-84,19,13923174,Unreliable
,"Viral intestinal infection, unspecified",A08.4,85+ years,85+,50,6287161,0.8
,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,< 1 year,1,201,3978038,5.1
,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,1-4 years,1-4,2,15929243,Unreliable
,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,5-14 years,5-14,2,41109506,Unreliable
,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,15-24 years,15-24,1,43848216,Unreliable
,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,25-34 years,25-34,1,44137202,Unreliable
,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,35-44 years,35-44,5,40589783,Unreliable
,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,45-54 years,45-54,11,43188161,Unreliable
,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,55-64 years,55-64,33,40877819,0.1
,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,65-74 years,65-74,57,27550517,0.2
,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,75-84 years,75-84,82,13923174,0.6
,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,85+ years,85+,100,6287161,1.6
,Gastroenteritis and colitis of unspecified origin,A09.9,< 1 year,1,9,3978038,Unreliable
,Gastroenteritis and colitis of unspecified origin,A09.9,1-4 years,1-4,11,15929243,Unreliable
,Gastroenteritis and colitis of unspecified origin,A09.9,5-14 years,5-14,5,41109506,Unreliable
,Gastroenteritis and colitis of unspecified origin,A09.9,15-24 years,15-24,8,43848216,Unreliable
,Gastroenteritis and colitis of unspecified origin,A09.9,25-34 years,25-34,12,44137202,Unreliable
,Gastroenteritis and colitis of unspecified origin,A09.9,35-44 years,35-44,28,40589783,0.1
,Gastroenteritis and colitis of unspecified origin,A09.9,45-54 years,45-54,95,43188161,0.2
,Gastroenteritis and colitis of unspecified origin,A09.9,55-64 years,55-64,190,40877819,0.5
,Gastroenteritis and colitis of unspecified origin,A09.9,65-74 years,65-74,309,27550517,1.1
,Gastroenteritis and colitis of unspecified origin,A09.9,75-84 years,75-84,532,13923174,3.8
,Gastroenteritis and colitis of unspecified origin,A09.9,85+ years,85+,762,6287161,12.1
,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,15-24 years,15-24,1,43848216,Unreliable
,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,25-34 years,25-34,4,44137202,Unreliable
,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,35-44 years,35-44,12,40589783,Unreliable
,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,45-54 years,45-54,30,43188161,0.1
,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,55-64 years,55-64,43,40877819,0.1
,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,65-74 years,65-74,38,27550517,0.1
,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,75-84 years,75-84,48,13923174,0.3
,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,85+ years,85+,45,6287161,0.7
,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A16.5,45-54 years,45-54,1,43188161,Unreliable
,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A16.5,65-74 years,65-74,2,27550517,Unreliable
,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,1-4 years,1-4,1,15929243,Unreliable
,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,15-24 years,15-24,2,43848216,Unreliable
,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,25-34 years,25-34,3,44137202,Unreliable
,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,35-44 years,35-44,4,40589783,Unreliable
,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,45-54 years,45-54,10,43188161,Unreliable
,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,55-64 years,55-64,24,40877819,0.1
,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,65-74 years,65-74,18,27550517,Unreliable
,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,75-84 years,75-84,29,13923174,0.2
,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,85+ years,85+,29,6287161,0.5
,Tuberculous meningitis,A17.0,35-44 years,35-44,1,40589783,Unreliable
,Tuberculous meningitis,A17.0,65-74 years,65-74,2,27550517,Unreliable
,Other tuberculosis of nervous system,A17.8,25-34 years,25-34,1,44137202,Unreliable
,Other tuberculosis of nervous system,A17.8,85+ years,85+,1,6287161,Unreliable
,Tuberculosis of bones and joints,A18.0,35-44 years,35-44,3,40589783,Unreliable
,Tuberculosis of bones and joints,A18.0,45-54 years,45-54,7,43188161,Unreliable
,Tuberculosis of bones and joints,A18.0,55-64 years,55-64,18,40877819,Unreliable
,Tuberculosis of bones and joints,A18.0,65-74 years,65-74,26,27550517,0.1
,Tuberculosis of bones and joints,A18.0,75-84 years,75-84,25,13923174,0.2
,Tuberculosis of bones and joints,A18.0,85+ years,85+,11,6287161,Unreliable
,"Tuberculosis of intestines, peritoneum and mesenteric glands",A18.3,45-54 years,45-54,1,43188161,Unreliable
,Tuberculosis of other specified organs,A18.8,75-84 years,75-84,1,13923174,Unreliable
,Tuberculosis of other specified organs,A18.8,85+ years,85+,1,6287161,Unreliable
,"Miliary tuberculosis, unspecified",A19.9,15-24 years,15-24,1,43848216,Unreliable
,"Miliary tuberculosis, unspecified",A19.9,25-34 years,25-34,3,44137202,Unreliable
,"Miliary tuberculosis, unspecified",A19.9,45-54 years,45-54,5,43188161,Unreliable
,"Miliary tuberculosis, unspecified",A19.9,55-64 years,55-64,3,40877819,Unreliable
,"Miliary tuberculosis, unspecified",A19.9,65-74 years,65-74,8,27550517,Unreliable
,"Miliary tuberculosis, unspecified",A19.9,75-84 years,75-84,4,13923174,Unreliable
,"Miliary tuberculosis, unspecified",A19.9,85+ years,85+,4,6287161,Unreliable
,Septicaemic plague,A20.7,45-54 years,45-54,1,43188161,Unreliable
,Pulmonary tularaemia,A21.2,85+ years,85+,1,6287161,Unreliable
,"Tularaemia, unspecified",A21.9,65-74 years,65-74,1,27550517,Unreliable
,"Brucellosis, unspecified",A23.9,65-74 years,65-74,1,27550517,Unreliable
,Streptobacillosis,A25.1,< 1 year,1,1,3978038,Unreliable
,Pasteurellosis,A28.0,45-54 years,45-54,2,43188161,Unreliable
,Pasteurellosis,A28.0,55-64 years,55-64,6,40877819,Unreliable
,Pasteurellosis,A28.0,65-74 years,65-74,7,27550517,Unreliable
,Pasteurellosis,A28.0,75-84 years,75-84,6,13923174,Unreliable
,Pasteurellosis,A28.0,85+ years,85+,3,6287161,Unreliable
,"Other specified zoonotic bacterial diseases, not elsewhere classified",A28.8,45-54 years,45-54,1,43188161,Unreliable
,Pulmonary mycobacterial infection,A31.0,1-4 years,1-4,1,15929243,Unreliable
,Pulmonary mycobacterial infection,A31.0,15-24 years,15-24,1,43848216,Unreliable
,Pulmonary mycobacterial infection,A31.0,25-34 years,25-34,5,44137202,Unreliable
,Pulmonary mycobacterial infection,A31.0,35-44 years,35-44,6,40589783,Unreliable
,Pulmonary mycobacterial infection,A31.0,45-54 years,45-54,14,43188161,Unreliable
,Pulmonary mycobacterial infection,A31.0,55-64 years,55-64,44,40877819,0.1
,Pulmonary mycobacterial infection,A31.0,65-74 years,65-74,56,27550517,0.2
,Pulmonary mycobacterial infection,A31.0,75-84 years,75-84,97,13923174,0.7
,Pulmonary mycobacterial infection,A31.0,85+ years,85+,70,6287161,1.1
,Other mycobacterial infections,A31.8,25-34 years,25-34,1,44137202,Unreliable
,Other mycobacterial infections,A31.8,65-74 years,65-74,2,27550517,Unreliable
,Other mycobacterial infections,A31.8,75-84 years,75-84,1,13923174,Unreliable
,Other mycobacterial infections,A31.8,85+ years,85+,2,6287161,Unreliable
,"Mycobacterial infection, unspecified",A31.9,25-34 years,25-34,2,44137202,Unreliable
,"Mycobacterial infection, unspecified",A31.9,35-44 years,35-44,1,40589783,Unreliable
,"Mycobacterial infection, unspecified",A31.9,45-54 years,45-54,2,43188161,Unreliable
,"Mycobacterial infection, unspecified",A31.9,55-64 years,55-64,8,40877819,Unreliable
,"Mycobacterial infection, unspecified",A31.9,65-74 years,65-74,10,27550517,Unreliable
,"Mycobacterial infection, unspecified",A31.9,75-84 years,75-84,15,13923174,Unreliable
,"Mycobacterial infection, unspecified",A31.9,85+ years,85+,15,6287161,Unreliable
,Listerial meningitis and meningoencephalitis,A32.1,55-64 years,55-64,4,40877819,Unreliable
,Listerial meningitis and meningoencephalitis,A32.1,65-74 years,65-74,6,27550517,Unreliable
,Listerial meningitis and meningoencephalitis,A32.1,75-84 years,75-84,4,13923174,Unreliable
,Listerial meningitis and meningoencephalitis,A32.1,85+ years,85+,4,6287161,Unreliable
,Listerial septicaemia,A32.7,55-64 years,55-64,1,40877819,Unreliable
,Listerial septicaemia,A32.7,65-74 years,65-74,3,27550517,Unreliable
,Listerial septicaemia,A32.7,75-84 years,75-84,2,13923174,Unreliable
,Listerial septicaemia,A32.7,85+ years,85+,4,6287161,Unreliable
,Other forms of listeriosis,A32.8,75-84 years,75-84,1,13923174,Unreliable
,Other forms of listeriosis,A32.8,85+ years,85+,1,6287161,Unreliable
,"Listeriosis, unspecified",A32.9,< 1 year,1,1,3978038,Unreliable
,"Listeriosis, unspecified",A32.9,25-34 years,25-34,1,44137202,Unreliable
,"Listeriosis, unspecified",A32.9,65-74 years,65-74,3,27550517,Unreliable
,"Listeriosis, unspecified",A32.9,85+ years,85+,1,6287161,Unreliable
,Other tetanus,A35,55-64 years,55-64,1,40877819,Unreliable
,Other tetanus,A35,75-84 years,75-84,2,13923174,Unreliable
,Whooping cough due to Bordetella pertussis,A37.0,< 1 year,1,1,3978038,Unreliable
,"Whooping cough, unspecified",A37.9,< 1 year,1,5,3978038,Unreliable
,"Whooping cough, unspecified",A37.9,65-74 years,65-74,1,27550517,Unreliable
,Meningococcal meningitis,A39.0,5-14 years,5-14,1,41109506,Unreliable
,Meningococcal meningitis,A39.0,15-24 years,15-24,1,43848216,Unreliable
,Meningococcal meningitis,A39.0,25-34 years,25-34,1,44137202,Unreliable
,Meningococcal meningitis,A39.0,35-44 years,35-44,1,40589783,Unreliable
,Meningococcal meningitis,A39.0,45-54 years,45-54,1,43188161,Unreliable
,Meningococcal meningitis,A39.0,65-74 years,65-74,4,27550517,Unreliable
,Meningococcal meningitis,A39.0,85+ years,85+,3,6287161,Unreliable
,Waterhouse-Friderichsen syndrome,A39.1,< 1 year,1,1,3978038,Unreliable
,Waterhouse-Friderichsen syndrome,A39.1,5-14 years,5-14,3,41109506,Unreliable
,Waterhouse-Friderichsen syndrome,A39.1,35-44 years,35-44,1,40589783,Unreliable
,Waterhouse-Friderichsen syndrome,A39.1,45-54 years,45-54,3,43188161,Unreliable
,Waterhouse-Friderichsen syndrome,A39.1,55-64 years,55-64,1,40877819,Unreliable
,Waterhouse-Friderichsen syndrome,A39.1,65-74 years,65-74,1,27550517,Unreliable
,"Meningococcaemia, unspecified",A39.4,1-4 years,1-4,2,15929243,Unreliable
,"Meningococcaemia, unspecified",A39.4,5-14 years,5-14,2,41109506,Unreliable
,"Meningococcaemia, unspecified",A39.4,15-24 years,15-24,4,43848216,Unreliable
,"Meningococcaemia, unspecified",A39.4,25-34 years,25-34,3,44137202,Unreliable
,"Meningococcaemia, unspecified",A39.4,45-54 years,45-54,2,43188161,Unreliable
,"Meningococcaemia, unspecified",A39.4,55-64 years,55-64,2,40877819,Unreliable
,"Meningococcaemia, unspecified",A39.4,65-74 years,65-74,1,27550517,Unreliable
,"Meningococcaemia, unspecified",A39.4,75-84 years,75-84,1,13923174,Unreliable
,"Meningococcal infection, unspecified",A39.9,< 1 year,1,1,3978038,Unreliable
,"Septicaemia due to streptococcus, group A",A40.0,1-4 years,1-4,1,15929243,Unreliable
,"Septicaemia due to streptococcus, group A",A40.0,5-14 years,5-14,4,41109506,Unreliable
,"Septicaemia due to streptococcus, group A",A40.0,25-34 years,25-34,2,44137202,Unreliable
,"Septicaemia due to streptococcus, group A",A40.0,35-44 years,35-44,5,40589783,Unreliable
,"Septicaemia due to streptococcus, group A",A40.0,45-54 years,45-54,8,43188161,Unreliable
,"Septicaemia due to streptococcus, group A",A40.0,55-64 years,55-64,3,40877819,Unreliable
,"Septicaemia due to streptococcus, group A",A40.0,65-74 years,65-74,2,27550517,Unreliable
,"Septicaemia due to streptococcus, group A",A40.0,75-84 years,75-84,4,13923174,Unreliable
,"Septicaemia due to streptococcus, group A",A40.0,85+ years,85+,4,6287161,Unreliable
,"Septicaemia due to streptococcus, group B",A40.1,< 1 year,1,6,3978038,Unreliable
,"Septicaemia due to streptococcus, group B",A40.1,35-44 years,35-44,1,40589783,Unreliable
,"Septicaemia due to streptococcus, group B",A40.1,45-54 years,45-54,1,43188161,Unreliable
,"Septicaemia due to streptococcus, group B",A40.1,55-64 years,55-64,4,40877819,Unreliable
,"Septicaemia due to streptococcus, group B",A40.1,65-74 years,65-74,4,27550517,Unreliable
,"Septicaemia due to streptococcus, group B",A40.1,75-84 years,75-84,5,13923174,Unreliable
,"Septicaemia due to streptococcus, group B",A40.1,85+ years,85+,7,6287161,Unreliable
,"Septicaemia due to streptococcus, group D",A40.2,< 1 year,1,3,3978038,Unreliable
,"Septicaemia due to streptococcus, group D",A40.2,15-24 years,15-24,1,43848216,Unreliable
,"Septicaemia due to streptococcus, group D",A40.2,35-44 years,35-44,3,40589783,Unreliable
,"Septicaemia due to streptococcus, group D",A40.2,45-54 years,45-54,11,43188161,Unreliable
,"Septicaemia due to streptococcus, group D",A40.2,55-64 years,55-64,15,40877819,Unreliable
,"Septicaemia due to streptococcus, group D",A40.2,65-74 years,65-74,21,27550517,0.1
,"Septicaemia due to streptococcus, group D",A40.2,75-84 years,75-84,31,13923174,0.2
,"Septicaemia due to streptococcus, group D",A40.2,85+ years,85+,15,6287161,Unreliable
,Septicaemia due to Streptococcus pneumoniae,A40.3,< 1 year,1,1,3978038,Unreliable
,Septicaemia due to Streptococcus pneumoniae,A40.3,1-4 years,1-4,6,15929243,Unreliable
,Septicaemia due to Streptococcus pneumoniae,A40.3,5-14 years,5-14,1,41109506,Unreliable
,Septicaemia due to Streptococcus pneumoniae,A40.3,35-44 years,35-44,5,40589783,Unreliable
,Septicaemia due to Streptococcus pneumoniae,A40.3,45-54 years,45-54,11,43188161,Unreliable
,Septicaemia due to Streptococcus pneumoniae,A40.3,55-64 years,55-64,17,40877819,Unreliable
,Septicaemia due to Streptococcus pneumoniae,A40.3,65-74 years,65-74,23,27550517,0.1
,Septicaemia due to Streptococcus pneumoniae,A40.3,75-84 years,75-84,19,13923174,Unreliable
,Septicaemia due to Streptococcus pneumoniae,A40.3,85+ years,85+,24,6287161,0.4
,Other streptococcal septicaemia,A40.8,1-4 years,1-4,1,15929243,Unreliable
,Other streptococcal septicaemia,A40.8,35-44 years,35-44,1,40589783,Unreliable
,Other streptococcal septicaemia,A40.8,45-54 years,45-54,1,43188161,Unreliable
,Other streptococcal septicaemia,A40.8,65-74 years,65-74,5,27550517,Unreliable
,Other streptococcal septicaemia,A40.8,75-84 years,75-84,6,13923174,Unreliable
,Other streptococcal septicaemia,A40.8,85+ years,85+,4,6287161,Unreliable
,"Streptococcal septicaemia, unspecified",A40.9,< 1 year,1,2,3978038,Unreliable
,"Streptococcal septicaemia, unspecified",A40.9,1-4 years,1-4,2,15929243,Unreliable
,"Streptococcal septicaemia, unspecified",A40.9,5-14 years,5-14,3,41109506,Unreliable
,"Streptococcal septicaemia, unspecified",A40.9,15-24 years,15-24,1,43848216,Unreliable
,"Streptococcal septicaemia, unspecified",A40.9,35-44 years,35-44,8,40589783,Unreliable
,"Streptococcal septicaemia, unspecified",A40.9,45-54 years,45-54,24,43188161,0.1
,"Streptococcal septicaemia, unspecified",A40.9,55-64 years,55-64,28,40877819,0.1
,"Streptococcal septicaemia, unspecified",A40.9,65-74 years,65-74,26,27550517,0.1
,"Streptococcal septicaemia, unspecified",A40.9,75-84 years,75-84,33,13923174,0.2
,"Streptococcal septicaemia, unspecified",A40.9,85+ years,85+,35,6287161,0.6
,Septicaemia due to Staphylococcus aureus,A41.0,< 1 year,1,15,3978038,Unreliable
,Septicaemia due to Staphylococcus aureus,A41.0,1-4 years,1-4,3,15929243,Unreliable
,Septicaemia due to Staphylococcus aureus,A41.0,5-14 years,5-14,1,41109506,Unreliable
,Septicaemia due to Staphylococcus aureus,A41.0,15-24 years,15-24,9,43848216,Unreliable
,Septicaemia due to Staphylococcus aureus,A41.0,25-34 years,25-34,11,44137202,Unreliable
,Septicaemia due to Staphylococcus aureus,A41.0,35-44 years,35-44,20,40589783,0
,Septicaemia due to Staphylococcus aureus,A41.0,45-54 years,45-54,54,43188161,0.1
,Septicaemia due to Staphylococcus aureus,A41.0,55-64 years,55-64,87,40877819,0.2
,Septicaemia due to Staphylococcus aureus,A41.0,65-74 years,65-74,139,27550517,0.5
,Septicaemia due to Staphylococcus aureus,A41.0,75-84 years,75-84,155,13923174,1.1
,Septicaemia due to Staphylococcus aureus,A41.0,85+ years,85+,181,6287161,2.9
,Septicaemia due to other specified staphylococcus,A41.1,< 1 year,1,1,3978038,Unreliable
,Septicaemia due to other specified staphylococcus,A41.1,75-84 years,75-84,2,13923174,Unreliable
,Septicaemia due to other specified staphylococcus,A41.1,85+ years,85+,2,6287161,Unreliable
,Septicaemia due to unspecified staphylococcus,A41.2,< 1 year,1,3,3978038,Unreliable
,Septicaemia due to unspecified staphylococcus,A41.2,15-24 years,15-24,1,43848216,Unreliable
,Septicaemia due to unspecified staphylococcus,A41.2,25-34 years,25-34,2,44137202,Unreliable
,Septicaemia due to unspecified staphylococcus,A41.2,35-44 years,35-44,5,40589783,Unreliable
,Septicaemia due to unspecified staphylococcus,A41.2,45-54 years,45-54,23,43188161,0.1
,Septicaemia due to unspecified staphylococcus,A41.2,55-64 years,55-64,48,40877819,0.1
,Septicaemia due to unspecified staphylococcus,A41.2,65-74 years,65-74,51,27550517,0.2
,Septicaemia due to unspecified staphylococcus,A41.2,75-84 years,75-84,65,13923174,0.5
,Septicaemia due to unspecified staphylococcus,A41.2,85+ years,85+,43,6287161,0.7
,Septicaemia due to Haemophilus influenzae,A41.3,1-4 years,1-4,1,15929243,Unreliable
,Septicaemia due to Haemophilus influenzae,A41.3,35-44 years,35-44,1,40589783,Unreliable
,Septicaemia due to Haemophilus influenzae,A41.3,45-54 years,45-54,2,43188161,Unreliable
,Septicaemia due to Haemophilus influenzae,A41.3,55-64 years,55-64,2,40877819,Unreliable
,Septicaemia due to Haemophilus influenzae,A41.3,65-74 years,65-74,3,27550517,Unreliable
,Septicaemia due to Haemophilus influenzae,A41.3,75-84 years,75-84,4,13923174,Unreliable
,Septicaemia due to Haemophilus influenzae,A41.3,85+ years,85+,7,6287161,Unreliable
,Septicaemia due to anaerobes,A41.4,1-4 years,1-4,1,15929243,Unreliable
,Septicaemia due to anaerobes,A41.4,15-24 years,15-24,2,43848216,Unreliable
,Septicaemia due to anaerobes,A41.4,25-34 years,25-34,2,44137202,Unreliable
,Septicaemia due to anaerobes,A41.4,35-44 years,35-44,1,40589783,Unreliable
,Septicaemia due to anaerobes,A41.4,45-54 years,45-54,2,43188161,Unreliable
,Septicaemia due to anaerobes,A41.4,55-64 years,55-64,20,40877819,0
,Septicaemia due to anaerobes,A41.4,65-74 years,65-74,25,27550517,0.1
,Septicaemia due to anaerobes,A41.4,75-84 years,75-84,31,13923174,0.2
,Septicaemia due to anaerobes,A41.4,85+ years,85+,55,6287161,0.9
,Septicaemia due to other Gram-negative organisms,A41.5,< 1 year,1,28,3978038,0.7
,Septicaemia due to other Gram-negative organisms,A41.5,1-4 years,1-4,2,15929243,Unreliable
,Septicaemia due to other Gram-negative organisms,A41.5,5-14 years,5-14,4,41109506,Unreliable
,Septicaemia due to other Gram-negative organisms,A41.5,15-24 years,15-24,4,43848216,Unreliable
,Septicaemia due to other Gram-negative organisms,A41.5,25-34 years,25-34,9,44137202,Unreliable
,Septicaemia due to other Gram-negative organisms,A41.5,35-44 years,35-44,25,40589783,0.1
,Septicaemia due to other Gram-negative organisms,A41.5,45-54 years,45-54,73,43188161,0.2
,Septicaemia due to other Gram-negative organisms,A41.5,55-64 years,55-64,166,40877819,0.4
,Septicaemia due to other Gram-negative organisms,A41.5,65-74 years,65-74,238,27550517,0.9
,Septicaemia due to other Gram-negative organisms,A41.5,75-84 years,75-84,273,13923174,2
,Septicaemia due to other Gram-negative organisms,A41.5,85+ years,85+,290,6287161,4.6
